sep=;
Story Title;Average;Estimate;Vote Started;Voting Duration;Avg Voting Time;Fastest;Slowest;
<a href="https://cascof.atlassian.net/browse/LTK-34">[LTK-34] Filtrar envíos por estado</a>;2;2;22/3/2026 16:47:12;00:14:43;00:10:37;Franco Casco;Franco Casco;
<a href="https://cascof.atlassian.net/browse/LTK-33">[LTK-33] Visualizar panel de envios</a>;2;3;22/3/2026 17:02:02;00:04:34;00:02:49;Franco Casco;Juan;
<a href="https://cascof.atlassian.net/browse/LTK-32">[LTK-32] Preparar dataset de entrenamiento</a>;11.3;13;22/3/2026 17:06:40;00:01:50;00:01:13;Franco Casco;Exequiel;
<a href="https://cascof.atlassian.net/browse/LTK-31">[LTK-31] Registrar datos históricos de envíos</a>;3;3;22/3/2026 17:08:35;00:01:06;00:00:46;Exequiel;Franco Casco;
<a href="https://cascof.atlassian.net/browse/LTK-30">[LTK-30] Visualizar información del envio</a>;1.7;2;22/3/2026 17:09:43;00:00:49;00:00:36;Juan;Franco Casco;
<a href="https://cascof.atlassian.net/browse/LTK-28">[LTK-28] Consultar estado del envio</a>;3.7;3;22/3/2026 17:10:36;00:01:21;00:00:37;Franco Casco;Juan;
<a href="https://cascof.atlassian.net/browse/LTK-27">[LTK-27] Visualizar resultados de busqueda</a>;2;3;22/3/2026 17:11:58;00:00:41;00:00:25;Exequiel;Franco Casco;
<a href="https://cascof.atlassian.net/browse/LTK-26">[LTK-26] Buscar envío por nombre del destinatario</a>;2;2;22/3/2026 17:12:43;00:01:30;00:00:52;Exequiel;Juan;
<a href="https://cascof.atlassian.net/browse/LTK-25">[LTK-25] Buscar envío por tracking ID</a>;2;3;22/3/2026 17:14:15;00:00:21;00:00:12;Franco Casco;Juan;
<a href="https://cascof.atlassian.net/browse/LTK-24">[LTK-24] Modificar datos del envío</a>;6;5;22/3/2026 17:14:39;00:00:54;00:00:34;Franco Casco;Juan;
<a href="https://cascof.atlassian.net/browse/LTK-23">[LTK-23] Cancelar envío</a>;2.3;2;22/3/2026 17:15:35;00:01:53;00:00:33;Franco Casco;Exequiel;
<a href="https://cascof.atlassian.net/browse/LTK-22">[LTK-22] Crear envío</a>;;Skipped;22/3/2026 17:18:15;00:00:27;;;;
<a href="https://cascof.atlassian.net/browse/LTK-21">[LTK-21] Consultar historial de envío</a>;0;?;22/3/2026 17:19:08;00:01:11;00:01:11;Juan;Juan;
<a href="https://cascof.atlassian.net/browse/LTK-20">[LTK-20] Registrar fecha y hora del cambio</a>;2.7;5;22/3/2026 17:20:22;00:00:37;00:00:26;Franco Casco;Exequiel;
<a href="https://cascof.atlassian.net/browse/LTK-19">[LTK-19] Cambiar estado de envío</a>;2;2;22/3/2026 17:21:03;00:01:12;00:00:28;Exequiel;Juan;
<a href="https://cascof.atlassian.net/browse/LTK-18">[LTK-18] Registrar estado inicial</a>;1.3;1;22/3/2026 17:22:19;00:00:28;00:00:19;Juan;Franco Casco;
<a href="https://cascof.atlassian.net/browse/LTK-17">[LTK-17] Registrar actividad de usuario</a>;4.7;8;22/3/2026 17:22:49;00:01:02;00:00:26;Exequiel;Juan;
<a href="https://cascof.atlassian.net/browse/LTK-16">[LTK-16] Registro de accesos</a>;3;5;22/3/2026 17:23:53;00:00:39;00:00:23;Exequiel;Juan;
<a href="https://cascof.atlassian.net/browse/LTK-15">[LTK-15] Consulta de actividad</a>;3.3;5;22/3/2026 17:24:34;00:01:10;00:00:34;Exequiel;Juan;
<a href="https://cascof.atlassian.net/browse/LTK-14">[LTK-14] Autenticación de usuarios</a>;4.7;8;22/3/2026 17:25:48;00:00:35;00:00:10;Franco Casco;Juan;
<a href="https://cascof.atlassian.net/browse/LTK-13">[LTK-13] Detección de accesos no autorizados</a>;6;13;22/3/2026 17:26:27;00:00:32;00:00:16;Exequiel;Juan;
<a href="https://cascof.atlassian.net/browse/LTK-12">[LTK-12] Control de permisos</a>;6;5;22/3/2026 17:27:02;00:01:00;00:00:27;Franco Casco;Juan;
<a href="https://cascof.atlassian.net/browse/LTK-11">[LTK-11] Visualizar datos</a>;1.7;2;22/3/2026 17:28:04;00:00:41;00:00:27;Exequiel;Franco Casco;
<a href="https://cascof.atlassian.net/browse/LTK-10">[LTK-10] Modificar datos</a>;3.7;3;22/3/2026 17:28:48;00:01:27;00:00:49;Franco Casco;Juan;
<a href="https://cascof.atlassian.net/browse/LTK-9">[LTK-9] Registrar datos</a>;3.5;?;22/3/2026 17:30:18;00:01:10;00:00:33;Franco Casco;Juan;
<a href="https://cascof.atlassian.net/browse/LTK-8">[LTK-8] Desactivar cuentas de usuarios</a>;3.7;3;22/3/2026 17:31:30;00:01:07;00:00:34;Exequiel;Juan;
<a href="https://cascof.atlassian.net/browse/LTK-7">[LTK-7] Modificar cuenta de usuario</a>;2.7;3;22/3/2026 17:32:39;00:02:22;00:00:58;Exequiel;Juan;
<a href="https://cascof.atlassian.net/browse/LTK-6">[LTK-6] Crear cuenta de usuario</a>;5;5;22/3/2026 17:35:03;00:01:33;00:00:38;Franco Casco;Juan;
<a href="https://cascof.atlassian.net/browse/LTK-5">[LTK-5] Modificación de roles de usuarios</a>;3.7;3;22/3/2026 17:36:39;00:01:42;00:00:45;Exequiel;Juan;